serial_no,financial_year,report_period,download_url
"1","2024-25","April (Part 1)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=61&path=Content\ArchiveReport\flash\2024-25\April_Part-I_Synopsis.pdf"
"2","2024-25","April (Part 2)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=62&path=Content\ArchiveReport\flash\2024-25\April_Part-II_List_of_tables.pdf"
"3","2024-25","May (Part 1)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=63&path=Content\ArchiveReport\flash\2024-25\May_Part-1.pdf"
"4","2024-25","May (Part 2)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=64&path=Content\ArchiveReport\flash\2024-25\May_Part-2.pdf"
"5","2024-25","June","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=65&path=Content\ArchiveReport\flash\2024-25\June.pdf"
"6","2024-25","July (Part 1)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=66&path=Content\ArchiveReport\flash\2024-25\July_Part-I.pdf"
"7","2024-25","July (Part 2)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=67&path=Content\ArchiveReport\flash\2024-25\July_Part-II.pdf"
"8","2024-25","August (Part 1)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=68&path=Content\ArchiveReport\flash\2024-25\August_Part-1(synopsis).pdf"
"9","2024-25","August (Part 2)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=69&path=Content\ArchiveReport\flash\2024-25\August_Part-2(List_of_tables).pdf"
"10","2024-25","September (Part 1)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=70&path=Content\ArchiveReport\flash\2024-25\September_Part-1(synopsis).pdf"
"11","2024-25","September (Part 2)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=71&path=Content\ArchiveReport\flash\2024-25\September_Part-2(List_of_tables).pdf"
"12","2024-25","October","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=72&path=Content\ArchiveReport\flash\2024-25\October.pdf"
"13","2024-25","November","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=73&path=Content\ArchiveReport\flash\2024-25\November.pdf"
"14","2024-25","December","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=74&path=Content\ArchiveReport\flash\2024-25\December.pdf"
"15","2024-25","January","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=75&path=Content\ArchiveReport\flash\2024-25\January.pdf"
"16","2024-25","Q1 (Part 1)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=85&path=Content\ArchiveReport\quarterly\2024-25\QPISR_1st_QTR_2024-25%20PART1.pdf"
"17","2024-25","Q1 (Part 2)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=86&path=Content\ArchiveReport\quarterly\2024-25\QPISR_1st_QTR_2024-25%20PART2.pdf"
"18","2024-25","Q2 (Part 1)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=87&path=Content\ArchiveReport\quarterly\2024-25\QPISR_2nd_QTR_2024-25%20PART1.pdf"
"19","2024-25","Q2 (Part 2)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=88&path=Content\ArchiveReport\quarterly\2024-25\QPISR_2nd_QTR_2024-25%20PART2.pdf"
"20","2024-25","Q3","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=89&path=Content\ArchiveReport\quarterly\2024-25\QPISR_3rd_QTR_2024-25.pdf"
"21","2024-25","March","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1150&path=Content\ArchiveReport\flash\2024-25\FRMarch2025.pdf"
"22","2024-25","Q4","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1152&path=Content\ArchiveReport\quarterly\2024-25\QPISR_4th_QTR_2024-25.pdf"
"23","2024-25","February","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1154&path=Content\ArchiveReport\flash\2024-25\FRFebruary2025.pdf"
"24","2023-24","April","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=49&path=Content\ArchiveReport\flash\2023-24\FR_APril_2023.pdf"
"25","2023-24","May","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=50&path=Content\ArchiveReport\flash\2023-24\FR_may_2023.pdf"
"26","2023-24","June","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=51&path=Content\ArchiveReport\flash\2023-24\FR_june_2023.pdf"
"27","2023-24","July","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=52&path=Content\ArchiveReport\flash\2023-24\FR_july1_2023.pdf"
"28","2023-24","August","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=53&path=Content\ArchiveReport\flash\2023-24\FR_august_2023.pdf"
"29","2023-24","September","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=54&path=Content\ArchiveReport\flash\2023-24\FR_sept_2023.pdf"
"30","2023-24","October","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=55&path=Content\ArchiveReport\flash\2023-24\FR_oct_2023.pdf"
"31","2023-24","November","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=56&path=Content\ArchiveReport\flash\2023-24\FR_nov_2023.pdf"
"32","2023-24","December","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=57&path=Content\ArchiveReport\flash\2023-24\FR_dec_2023.pdf"
"33","2023-24","January","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=58&path=Content\ArchiveReport\flash\2023-24\FR_jan_2024.pdf"
"34","2023-24","February","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=59&path=Content\ArchiveReport\flash\2023-24\FR_feb_2024.pdf"
"35","2023-24","March","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=60&path=Content\ArchiveReport\flash\2023-24\FR_mar_2024.pdf"
"36","2023-24","Q1","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=80&path=Content\ArchiveReport\quarterly\2023-24\QPSR_1st_QTR_2023-24.pdf"
"37","2023-24","Q2","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=81&path=Content\ArchiveReport\quarterly\2023-24\QPSR_2nd_QTR_2023-24.pdf"
"38","2023-24","Q3","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=82&path=Content\ArchiveReport\quarterly\2023-24\QPSR_3rd_QTR_2023-24.pdf"
"39","2023-24","Q4 (Part 1)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=83&path=Content\ArchiveReport\quarterly\2023-24\QPSR-4th_QTR_2023-2024%20Part_I.pdf"
"40","2023-24","Q4 (Part 2)","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=84&path=Content\ArchiveReport\quarterly\2023-24\QPSR-4th_QTR_2023-2024%20Part_II.pdf"
"41","2022-23","Q1","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=76&path=Content\ArchiveReport\quarterly\2022-23\QPSIR_1st_QTR_2022-23.pdf"
"42","2022-23","Q2","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=77&path=Content\ArchiveReport\quarterly\2022-23\QPSIR_2nd_QTR_2022-23.pdf"
"43","2022-23","Q3","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=78&path=Content\ArchiveReport\quarterly\2022-23\QPSIR_3rd_QTR_2022-23.pdf"
"44","2022-23","Q4","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=79&path=Content\ArchiveReport\quarterly\2022-23\QPSIR_4th_QTR_2022-23.pdf"
"45","2022-23","April","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=37&path=Content\ArchiveReport\flash\2022-23\FR_APr_2022.pdf"
"46","2022-23","May","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=38&path=Content\ArchiveReport\flash\2022-23\FR_may_2022.pdf"
"47","2022-23","June","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=39&path=Content\ArchiveReport\flash\2022-23\FR_june_2022.pdf"
"48","2022-23","July","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=40&path=Content\ArchiveReport\flash\2022-23\FR_july_2022.pdf"
"49","2022-23","August","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=41&path=Content\ArchiveReport\flash\2022-23\FR_august_2022.pdf"
"50","2022-23","September","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=42&path=Content\ArchiveReport\flash\2022-23\FR_september_2022.pdf"
"51","2022-23","October","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=43&path=Content\ArchiveReport\flash\2022-23\FR_oct_2022.pdf"
"52","2022-23","November","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=44&path=Content\ArchiveReport\flash\2022-23\FR_nov_2022.pdf"
