project_code,report_year,report_month_num,agency_frequency,state_frequency,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,expenditure_to_original_cost_pct,expenditure_per_progress_pct_cr,remaining_original_cost_cr,approval_to_start_days,planned_duration_days,elapsed_duration_days,remaining_planned_days,elapsed_duration_pct,progress_per_elapsed_month,schedule_progress_gap_pct,report_year_missing,report_month_num_missing,agency_frequency_missing,state_frequency_missing,original_cost_cr_missing,cumulative_expenditure_cr_missing,physical_progress_pct_missing,expenditure_to_original_cost_pct_missing,expenditure_per_progress_pct_cr_missing,remaining_original_cost_cr_missing,approval_to_start_days_missing,planned_duration_days_missing,elapsed_duration_days_missing,remaining_planned_days_missing,elapsed_duration_pct_missing,progress_per_elapsed_month_missing,schedule_progress_gap_pct_missing,time_overrun_days,time_overrun_months,time_overrun_flag,progress_delta_recent,expenditure_delta_recent,recent_spend_efficiency_cr_pct
060100093,2025,4,0.0021136994143291,0.0066053106697785,11816.4,6584.29,77.2,55.72162418333841,0.721782696675368,5232.11,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1096.0,36.0082135523614,1,0.0,0.0,0.721782696675368
060100093,2025,5,0.0021136994143291,0.0066053106697785,11816.4,6596.25,77.2,55.82283944348533,0.7230937751746804,5220.15,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1096.0,36.0082135523614,1,0.0,11.960000000000036,0.7230937751746804
060100093,2025,6,0.0021136994143291,0.0066053106697785,11816.4,6617.04,77.2,55.998781354727335,0.7253728154757426,5199.36,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1096.0,36.0082135523614,1,0.0,20.789999999999964,0.7253728154757426
180100210,2025,4,0.0009687788982341,0.0036989739750759,3919.59,12832.59,100.0,327.39623276924374,3.273962327692437,-8913.0,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5691.0,186.97330595482543,1,0.0,0.0,3.273962327692437
180100221,2025,4,0.0009687788982341,0.0018935223920031,6285.33,24022.52,96.2,382.199820852684,3.97297111073476,-17737.190000000002,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5721.0,187.95893223819303,1,0.0,0.0,3.97297111073476
180100221,2025,5,0.0009687788982341,0.0018935223920031,6285.33,24213.84,96.49,385.2437342192057,3.992576787430881,-17928.510000000002,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5721.0,187.95893223819303,1,0.28999999999999204,191.3199999999997,100.0
180100221,2025,6,0.0009687788982341,0.0018935223920031,6285.33,24484.77,96.6,389.5542477483282,4.032652668202156,-18199.44,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5721.0,187.95893223819303,1,0.10999999999999943,270.9300000000003,100.0
180100242,2025,4,0.0031265137170284,0.0119335946100664,8692.97,22290.14,95.0,256.415701423104,2.6991126465589894,-13597.17,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4291.0,140.97741273100615,1,0.0,0.0,2.6991126465589894
180100242,2025,5,0.0031265137170284,0.0119335946100664,8692.97,22290.14,95.0,256.415701423104,2.6991126465589894,-13597.17,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4900.0,160.98562628336757,1,0.0,0.0,2.6991126465589894
180100242,2025,6,0.0031265137170284,0.0119335946100664,8692.97,22561.37,95.0,259.5358088202306,2.731955882318217,-13868.4,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4900.0,160.98562628336757,1,0.0,271.22999999999956,2.731955882318217
